Question,Choice1,Choice2,Choice3,Choice4,Answer,Difficulty
What type of software enables you to communicate with the computer and acts as a coordinator between the hardware and all systems that are running?,Operating system,Word processor,Web application,Web browser,Operating system,
You just got a new touchscreen tablet. Which basic computer function does the screen perform?,input,processing,storage,audio,input,
A computer must translate the data it receives from the input devices into 0’s and 1’s so that it can either store or process the data. What is this system of 0’s and 1’s called? ,Long-term storage system,Scripting system,Binary code,Input and output system,Binary code,
What type of storage does a computer use when a user enters data into an online form and before they submit the form? ,Processing storage,Cookies,Long-term storage,Short-term storage,Short-term storage,
"Thanks to advances in internet technology, web developers can now create programs that are a hybrid between a software program and a web page. What is this called?",Web browsers,Web sites,Web applications,Web pages,Web applications,
Which of the following types of languages is the most abstract and self-describing so developers can easily read it? ,Compiled language,Interpreted language,Machine language,System language,Interpreted language,
What makes interpreted languages different from compiled languages?,Interpreted languages are loaded into computer memory before processing starts.,Interpreted languages are written in binary.,Interpreted languages are responsible for managing parts of the computer system such as memory and data transfer. ,Interpreted languages are executed line-by-line.,Interpreted languages are executed line-by-line.,
"Jane has written and compiled the code for her application, but when she tests it, the application doesn’t work quite as she intended. She now wants to make changes to the code. What steps does she need to take to change how the application works and test it again?",Change the compiled code and then test her application.,"Change the compiled code, compile it, and then test her application.",Change the source code and then test her application.,"Change the source code, compile it, and then test her application.","Change the source code, compile it, and then test her application.",
At which stage of the compilation process does the compiler check your code for errors?,Before converting the code into machine language,While converting the code into machine language,After converting the code into machine language,Never,Before converting the code into machine language,
"Complete the sentence. _______________ run on user devices and respond to user interactions like buttons, while _______________ run complex processes that require a lot of power and send results back to the client.","Server-side processes, client-side processes","Website processes, web development processes","Client-side processes, server-side processes","Web development processes, website processes","Client-side processes, server-side processes",
During which phase of the web development process does a web developer work with a web designer to understand what functions the website needs to perform?,The coding phase,"
The planning and design phase",The testing and publishing phase,The maintenance phase,"
The planning and design phase",
Which of the following is a client-side process?,Maintaining content management,Ensuring that websites and systems are safe from hackers,Rendering web page layouts,Creating and connecting websites to databases,Rendering web page layouts,
Which of the following interprets files from the server and displays the information in the user interface (UI)?,The URL,The search bar,The web host,"
The browser","
The browser",
"If you were a web developer on a new project, which of the of the following would be one of your responsibilities?",Test design ideas as per the prototype created.,"
Build a site based on the required design and functionality needs.",Translate the vision into viable designs for a site.,Create wireframes and prototypes based on user requirements.,Test design ideas as per the prototype created.,
Which of the following is a challenge that front-end developers must face and address when developing websites?,Making sure websites have simple page layout and style with no interactions.,"Making sure websites focus on logic, integration, and data management.",Making sure websites work consistently across different browsers.,Making sure websites do not degrade or operate on older versions of browsers.,Making sure websites work consistently across different browsers.,
